,City,Latitude,Temperature (F),Humidity (%),Windspeed (mph),Cloudiness (%)
190,'Ewa Beach,21.32,71.22,78,5.7,40
191,Evensk,61.95,-22.65,73,14.74,0
192,Hun,29.13,63.79,42,10.27,0
193,Bela,25.93,51.58,59,6.44,0
194,Vao,-22.67,78.21,80,14.81,82
195,Naze,28.37,46.4,93,3.36,2
196,Avarua,-21.21,80.6,78,6.93,0
197,Cap Malheureux,-19.98,77.95,94,6.93,75
198,Airai,-8.93,67.41,90,3.38,98
199,Vestmannaeyjar,63.44,35.6,75,18.34,20
200,Khatanga,71.97,-26.16,85,4.43,82
201,Abu Samrah,35.3,47.39,56,7.23,0
202,Levice,48.22,47.1,100,12.39,90
203,Maniitsoq,65.42,12.96,57,3.36,100
204,Shingu,33.73,48.7,69,7.11,5
205,Weyburn,49.67,30.99,58,25.01,90
206,Yaan,7.38,86.67,10,4.16,71
207,Severnyy,50.68,42.8,93,11.18,90
208,Karpogory,64.0,24.28,94,9.8,100
209,Bonavista,48.65,33.01,85,25.99,100
210,Yichang,30.71,47.25,78,4.38,67
211,Lagoa,39.05,58.15,66,10.78,100
212,Daru,-9.08,75.6,92,3.38,100
213,Praia,14.92,82.4,26,13.87,0
214,Zaraza,9.35,95.2,29,7.31,1
215,Salalah,17.02,75.2,60,3.36,40
216,Yar-Sale,66.83,0.09,96,13.76,100
217,Popondetta,-8.75,73.44,94,3.53,100
218,Vryburg,-26.96,76.53,29,1.66,56
219,Cayenne,4.93,84.2,66,10.29,75
220,Broome,42.25,33.71,92,8.05,90
221,Zaozyornoye,45.16,49.53,86,22.73,26
222,Hithadhoo,-0.6,82.26,75,12.91,27
223,Spencer,43.14,39.9,100,16.11,1
224,Karratha,-20.74,81.57,74,13.18,15
225,Laas,46.62,37.44,86,2.24,20
226,Zeya,53.75,-5.46,98,3.78,100
227,Masterton,-40.96,67.78,70,1.99,27
228,Luderitz,-26.65,63.57,91,23.89,0
229,Talnakh,69.49,-11.2,69,15.66,0
230,Xining,36.62,13.59,75,2.62,0
231,Kavieng,-2.57,83.26,81,15.75,85
232,Kalmunai,7.42,80.89,77,13.35,0
233,Caravelas,-17.71,81.01,80,13.47,13
234,Tomatlan,19.93,74.66,42,6.4,100
235,Deputatsky,69.3,-30.5,91,3.98,0
236,Novichikha,52.2,9.63,73,7.23,0
237,Alihe,50.57,-16.22,90,4.63,15
238,Ponta do Sol,32.67,64.44,77,13.87,20
239,Zhangye,38.93,25.63,20,6.08,0
240,Kirakira,-10.45,78.03,82,3.0,100
241,Snina,48.99,43.0,77,5.01,84
242,Manaure,11.78,86.0,66,14.99,75
243,Chui,-33.7,85.5,37,5.68,0
244,Tukrah,32.53,57.79,85,5.26,29
245,Avera,33.19,61.14,36,11.41,1
246,Vitim,59.45,-29.51,97,2.01,86
247,High Rock,26.62,68.0,64,14.99,40
248,Ambilobe,-13.2,77.27,87,2.68,100
249,Jati,24.35,63.32,27,7.36,6
250,Sochi,43.6,41.07,81,8.95,90
251,Saskylakh,71.92,-16.83,92,8.37,99
252,Chamalieres,45.78,58.66,67,8.05,90
253,Touros,-5.2,86.0,66,16.11,40
254,San Matias,-16.37,96.46,39,4.81,44
255,Harper,4.38,81.97,78,5.06,24
256,Lubango,-14.92,64.4,94,10.29,75
257,Patitiri,39.15,53.83,93,1.25,40
258,Mandalgovi,45.76,2.35,68,8.9,2
259,Jacareacanga,-6.22,84.56,80,4.47,32
260,Baculin,7.45,70.36,94,7.18,94
261,Bedford,52.13,51.19,81,13.87,75
262,Malanje,-9.54,68.34,87,5.82,86
263,Bibiani,6.46,86.72,16,2.15,0
264,Hong Kong,22.29,62.15,82,11.41,20
265,Jinchang,38.5,21.63,26,5.3,0
266,Codrington,-38.27,58.69,74,29.86,94
267,Gorontalo,0.54,74.25,92,4.52,78
268,Pisco,-13.7,76.39,30,17.22,40
269,Alofi,-19.06,75.2,88,10.83,98
270,Nanortalik,60.14,20.7,51,14.7,0
271,Aklavik,68.22,-34.31,65,4.7,20
272,OEstersund,63.18,32.27,79,16.11,18
273,Severo-Kuril'sk,50.68,13.33,86,8.79,1
274,Flinders,-34.58,69.6,100,8.7,90
275,Bilibino,68.05,-40.81,100,1.32,58
276,Cachira,7.74,82.58,55,6.93,40
277,Manicore,-5.81,83.52,86,4.32,91
278,Nemuro,43.32,25.95,71,8.23,5
279,La Ronge,55.1,6.8,77,17.22,90
280,Hirara,24.8,63.91,57,7.58,0
281,Sao Jose da Coroa Grande,-8.9,82.36,77,12.75,65
282,Cooma,-36.23,50.0,100,4.94,90
283,Lompoc,34.64,56.97,87,14.99,90
284,Vysokogornyy,50.12,-11.36,99,1.66,89
285,Ketchikan,55.34,30.2,92,3.36,1
286,Port Lincoln,-34.73,61.75,66,12.15,77
287,San Fernando del Valle de Catamarca,-28.47,90.07,30,13.0,5
288,Constitucion,-35.33,66.94,49,13.15,11
289,Vallenar,-28.57,75.76,52,13.85,0
290,Wakkanai,45.41,26.67,65,19.53,100
291,Yulara,-25.24,69.8,40,6.93,31
292,Oussouye,12.48,81.46,83,2.24,20
293,Tuban,-6.9,74.03,95,3.11,100
294,Aykhal,66.0,-34.6,73,4.47,0
295,Mokhsogollokh,61.47,-20.25,95,3.56,100
296,Coquimbo,-29.95,68.0,72,12.75,75
297,Hambantota,6.12,75.2,100,8.05,80
298,Dabat,12.98,61.68,41,10.09,52
299,Flin Flon,54.77,17.6,78,13.87,90
300,Chapais,49.78,26.6,86,9.17,90
301,Buala,-8.14,81.14,84,9.22,100
302,Inyonga,-6.72,63.93,93,3.27,84
303,Aswan,24.09,66.2,16,10.29,4
304,Bull Savanna,17.89,82.24,54,4.72,50
305,Tromso,69.65,32.7,74,19.46,75
306,Bang Saphan,11.21,76.51,80,3.56,35
307,Sorong,-0.88,73.45,92,3.62,66
308,Pimentel,-6.84,66.2,29,14.99,100
309,Ugoofaaru,5.67,81.54,70,14.9,5
310,Sakon Nakhon,17.16,70.32,51,3.67,0
311,Riyadh,24.69,57.2,33,3.36,9
312,Baoro,5.67,77.59,22,4.29,18
313,Canyon Lake,29.88,73.67,33,17.22,1
314,Okitipupa,6.5,79.7,57,5.14,32
315,Clyde River,70.47,-27.4,67,4.7,5
316,Pascagoula,30.37,66.9,52,9.17,1
317,Guarapari,-20.67,87.31,70,13.87,20
318,Port Elizabeth,-33.92,73.4,94,6.93,74
319,Esperance,-33.87,62.6,63,10.29,90
320,Nara,34.69,37.99,75,1.12,44
321,Westport,41.14,41.95,48,9.17,75
322,Saint George,37.1,53.83,42,3.36,1
323,Llaillay,-32.85,81.19,77,16.11,40
324,Shahrud,36.42,27.1,80,2.1,82
325,Channel-Port aux Basques,47.57,31.71,81,33.87,100
326,Bac Lieu,9.29,71.35,85,8.5,29
327,Mana,5.66,86.88,49,6.17,57
328,Miles City,46.41,32.7,70,13.87,90
329,Nushki,29.55,53.11,41,9.86,0
330,Necochea,-38.55,71.2,68,13.0,41
331,Mocajuba,-2.58,86.63,66,4.38,70
332,Port Moresby,-9.44,81.07,80,9.98,98
333,Peniche,39.36,62.02,82,3.36,25
334,Sitka,57.05,26.6,92,3.36,40
335,Hajnowka,52.74,37.94,77,3.0,42
336,Bathsheba,13.22,84.2,58,14.99,20
337,Atar,20.52,86.09,7,12.48,0
338,Iqaluit,63.75,10.18,85,6.93,90
339,Cortez,37.35,47.89,45,6.93,1
340,Bardiyah,31.76,60.75,76,10.0,100
341,Muromtsevo,56.37,1.74,89,6.13,100
342,Vehari,30.03,55.13,38,2.64,0
343,Quthing,-30.4,69.17,54,4.68,62
344,Sovetskaya,44.78,39.99,6,13.0,99
345,Mecca,21.43,71.11,49,4.81,19
346,Sakakah,29.97,57.2,47,4.7,40
347,Jalu,29.03,62.46,46,7.54,0
348,Znamenskoye,57.13,5.07,88,7.61,100
349,Saint Anthony,45.02,42.82,100,11.41,1
350,Sorland,67.67,32.61,68,25.28,90
351,Belaya Gora,68.53,-31.74,97,4.41,2
352,Chicama,-7.84,75.2,78,11.41,20
353,Morogoro,-6.82,73.4,94,2.8,75
354,Olafsvik,64.89,30.43,68,8.93,78
355,Utete,-7.99,75.42,97,3.6,48
356,Los Llanos de Aridane,28.66,70.88,43,12.75,0
357,Kaitangata,-46.28,64.0,75,16.91,100
358,Savannah Bight,16.45,78.13,80,23.89,25
359,Bage,-31.33,85.71,40,9.17,0
360,Shahabad,27.65,51.44,64,6.08,0
361,Edson,53.58,17.6,67,4.94,40
362,Gamba,-2.65,81.82,77,5.5,69
363,Kandrian,-6.22,77.13,88,8.43,100
364,'Ahuimanu,21.44,71.28,78,5.7,40
365,Waddan,29.16,63.79,42,10.27,0
366,Kisangani,0.52,78.8,83,3.62,74
367,Mizur,42.85,27.43,59,8.66,81
368,Sfantu Gheorghe,45.87,37.6,68,1.01,90
369,Tabuk,17.42,63.81,86,4.09,96
370,Xicotencatl,23.02,70.16,65,5.01,100
371,Diego de Almagro,-26.37,86.11,22,15.88,0
372,Adrar,20.5,79.81,9,9.04,0
373,Batagay-Alyta,67.8,-27.33,73,2.66,0
374,Biak,-0.91,82.31,73,8.28,97
375,Otavi,-19.65,74.59,47,12.19,29
376,Ilulissat,69.22,3.2,65,4.7,100
377,Ambulu,-8.35,80.78,80,7.27,100
378,Ilo,-17.64,72.84,81,7.94,100
379,Verkhniye Kigi,55.41,11.93,95,4.41,49
380,Micheweni,-4.97,81.28,84,11.41,24
381,Nar'yan-Mar,67.67,-21.68,96,8.72,0
382,Adre,13.47,63.34,27,4.03,85
383,Mananjary,-21.22,78.98,75,9.35,9
384,Pustomyty,49.72,44.35,70,13.42,82
385,Kwang Binh,17.48,65.5,91,4.38,18
386,Qinzhou,21.95,65.39,90,4.14,49
387,Brasileia,-11.02,89.6,66,5.82,75
388,Antalaha,-14.9,81.34,82,20.96,100
389,Batemans Bay,-35.72,63.36,91,1.39,91
390,Sarangani,5.4,80.46,77,17.54,68
391,Kuandian,40.73,17.38,89,4.07,70
392,Khovd,48.01,-4.85,70,1.81,99
393,Arona,28.1,69.26,17,6.93,0
394,Hobyo,5.35,76.42,70,18.03,81
395,Ilhabela,-23.78,75.94,86,3.47,100
396,Luanda,-8.84,84.2,70,10.29,20
397,Karla,59.37,37.67,86,12.75,90
398,Fukuecho,32.69,50.0,66,12.75,75
399,Nhulunbuy,-12.23,80.6,94,18.32,40
400,Whitianga,-36.83,69.01,97,3.0,82
401,Fortuna,40.6,48.02,61,11.41,20
402,Taltal,-25.4,69.17,65,8.34,21
403,Haines Junction,60.75,-21.87,79,0.47,57
404,Akhisar,38.92,46.83,80,3.49,0
405,Manono,-7.3,68.07,98,4.47,100
406,Fort-Shevchenko,44.51,34.41,79,7.34,5
407,Buhe,30.29,45.0,91,5.91,80
408,Afua,-0.16,85.3,65,8.84,92
409,Srednekolymsk,67.45,-26.73,99,6.29,99
410,Pundaguitan,6.37,77.95,85,18.77,99
411,Rome,43.21,35.42,88,8.46,90
412,Mareeba,-17.0,75.47,88,5.82,40
413,Sokoni,-6.43,78.96,83,10.36,75
414,Nan,18.83,65.68,56,0.92,0
415,Mago,53.25,-7.46,98,2.1,100
416,Port Macquarie,-31.43,73.78,88,4.7,40
417,Labuhan,-6.88,74.03,95,3.11,100
418,Muli,2.92,81.72,74,12.82,54
419,Omsukchan,62.53,-32.98,100,5.68,100
420,Perth,-31.93,70.03,52,17.22,0
421,Fasa,28.94,41.0,75,2.66,0
422,Coolum Beach,-26.53,72.84,91,3.15,10
423,Kundiawa,-6.02,54.73,97,0.31,100
424,Kumul,42.8,13.78,55,1.61,73
425,Marfino,55.7,36.34,93,15.66,90
426,Kenai,60.55,5.34,84,11.41,90
427,Nahrin,36.06,41.83,27,9.31,100
428,Kodinsk,58.69,-30.98,97,1.59,0
429,Tura,25.52,53.85,55,3.15,0
430,Kamaishi,39.27,32.31,62,3.27,97
431,Lukulu,-14.37,70.11,94,2.21,100
432,Rosario do Sul,-30.26,97.43,21,8.41,0
433,Quchan,37.11,25.12,91,9.98,100
434,Lima,-12.04,78.8,74,8.05,93
435,Quesnel,53.0,26.6,53,14.99,1
436,Kazachinskoye,57.7,-15.14,90,8.63,46
437,Manado,1.49,78.8,88,10.29,40
438,Killybegs,54.63,47.66,76,27.51,75
439,Samana,19.21,86.0,70,9.17,40
440,Saint-Joseph,-21.37,74.35,88,21.92,2
441,Wakefield,53.68,46.92,93,14.99,40
442,Aasiaat,68.71,0.01,90,3.31,100
443,Porosozero,62.72,33.64,98,4.45,100
444,Camacha,33.08,65.16,88,12.75,40
445,Sohag,26.56,59.0,44,9.17,0
446,Arrondissement de Perpignan,42.75,59.11,72,5.82,63
447,Bekhtery,46.25,46.2,100,8.95,75
448,Snezhnogorsk,69.19,12.2,85,2.24,75
449,Lekoni,-1.58,84.31,54,4.5,95
450,Sucua,-2.47,77.0,69,4.7,40
451,Maragogi,-9.01,82.36,77,12.75,65
452,Phuntsholing,26.85,33.51,82,5.57,25
453,Santander,43.46,73.4,40,10.29,20
454,Sept-Iles,50.2,25.11,62,2.24,75
455,Isangel,-19.55,75.2,94,1.12,100
456,Aljezur,37.32,64.99,77,3.0,78
457,Castro Daire,40.9,61.43,87,2.24,50
458,Northam,51.03,51.46,81,8.05,40
459,Burns Lake,54.23,17.42,95,2.59,100
460,Kharhial,20.28,66.76,46,2.21,23
461,Vestmanna,62.16,35.6,74,12.75,100
462,Sur,22.57,68.07,57,7.07,24
463,Vardo,70.37,21.09,79,18.34,75
464,Pacific Grove,36.62,54.7,67,9.17,75
465,Dhanwar,24.42,55.09,50,4.88,0
466,Bilma,18.69,64.76,17,4.59,0
467,Lisakovsk,52.54,14.13,95,3.69,100
468,Gatton,-27.55,71.56,88,3.65,15
469,Port Keats,-14.25,80.78,77,4.45,99
470,Watertown,42.37,38.57,60,4.7,90
471,Sungaipenuh,-2.08,63.64,99,2.53,100
472,Mahanoro,-19.9,80.1,76,13.15,0
473,College,64.86,-21.71,73,2.98,85
474,Orocue,4.79,96.89,34,10.98,99
475,Mogadishu,2.04,79.45,79,23.6,91
476,Madaoua,14.07,74.5,11,8.7,50
477,Hamada,34.88,52.05,63,22.79,95
478,La Macarena,2.18,82.98,80,1.86,91
479,Genhe,50.78,-21.66,99,3.24,74
480,Kushima,31.46,41.0,80,5.01,6
481,Businga,3.33,82.98,41,2.77,33
482,Hatsukaichi,34.35,39.58,80,6.93,20
483,Berea,41.37,49.05,80,23.04,1
484,La Union,-5.4,91.27,38,6.73,56
485,Vostok,46.49,-6.11,97,4.41,100
486,San Buenaventura,27.08,51.8,29,3.49,75
487,Pizarro,4.95,79.39,79,2.13,100
488,Baijiantan,45.63,6.39,93,1.79,72
489,Neuquen,-38.95,86.0,20,6.93,0
490,Bafra,41.57,55.4,47,11.41,75
491,Cyangugu,-2.48,60.82,97,3.67,100
492,Namalenga,-10.95,73.81,97,4.74,64
493,Jinji,23.23,58.24,84,1.61,87
494,Pangnirtung,66.15,-5.8,58,11.41,40
495,Saint-Francois,46.42,56.82,77,4.7,75
496,Nuuk,64.18,14.0,72,5.82,94
497,Kiomboi,-4.27,64.17,94,1.34,100
498,Colwyn Bay,53.29,48.94,87,21.92,67
499,Akhmeta,42.03,39.2,96,13.87,15
500,Rio Grande,-32.03,86.0,62,16.11,40
501,Shenjiamen,29.96,51.84,75,6.44,100
502,Doka,13.52,78.37,24,8.72,32
503,Tupiza,-21.45,66.04,36,10.4,50
504,Mabaruma,8.2,83.19,70,5.17,63
505,Oswego,43.45,35.35,74,8.05,90
506,Portland,45.52,38.26,80,3.36,90
507,Madawaska,47.36,23.02,79,12.75,90
508,Borzya,50.38,-22.79,92,2.08,0
509,Saldanha,-33.01,71.6,68,8.05,65
510,Faanui,-16.48,82.22,79,17.02,94
511,Ondjiva,-17.07,79.61,52,3.96,96
512,Anapskaya,44.89,51.8,81,26.84,40
513,Marawi,8.0,73.99,86,5.01,97
514,Tazovsky,67.47,-9.85,95,20.65,100
515,Waipawa,-41.41,65.55,93,27.51,32
516,Mehamn,71.04,24.08,79,23.04,75
517,Ovsyanka,55.96,-11.2,76,2.24,100
518,Zhanakorgan,43.91,38.23,63,11.41,100
519,Amazar,53.86,-13.77,87,8.59,100
520,Loviisa,60.45,33.17,86,9.17,90
521,Launceston,-41.45,50.38,71,14.99,90
522,Kimberley,-28.73,75.2,50,13.87,88
523,Batticaloa,7.71,71.42,91,1.25,4
524,Nabire,-3.37,72.77,99,1.81,100
525,Aldan,58.6,-25.04,100,3.83,100
526,Hvolsvollur,63.75,29.34,76,18.34,20
527,Rincon,32.3,61.16,39,13.87,1
528,Coahuayana Viejo,18.73,75.2,50,2.13,90
529,Puerto Escondido,15.85,84.2,79,5.82,5
530,Ankazoabo,-22.28,76.91,67,4.76,77
531,Dolores,-36.31,102.85,11,4.52,24
532,Nioro,13.35,101.5,8,4.74,18
533,Belyy Yar,53.6,-9.4,83,2.24,100
534,Batagay,67.63,-34.42,98,1.41,0
535,Tuatapere,-46.13,60.01,98,0.22,100
536,Uni,57.75,28.49,92,11.86,100
537,Natal,-5.79,86.0,70,12.75,40
538,Labytnangi,66.66,-6.36,98,6.35,100
539,Carauari,-4.88,90.63,61,1.59,100
540,Severodvinsk,64.56,17.6,92,4.47,90
541,Baykit,61.67,-33.48,98,1.86,25
542,Ust'-Shonosha,61.15,30.58,91,10.89,100
543,Awjilah,29.11,62.46,46,7.54,0
544,Copiapo,-27.37,75.2,53,10.29,20
545,Salinopolis,-0.61,81.16,81,16.37,64
546,Bingol,38.88,13.17,79,2.55,3
547,Sayyan,15.17,57.87,41,2.64,46
548,Chihuahua,28.5,55.4,19,6.93,75
549,Kaeo,-35.1,63.36,100,6.15,19
550,Curvelo,-18.76,87.78,50,2.28,98
551,Praia da Vitoria,38.73,55.4,82,10.0,40
552,Mazamari,-11.33,78.73,54,4.18,80
553,Leh,34.17,-11.29,43,4.16,0
554,Tautira,-17.73,84.11,74,17.22,75
555,Lydenburg,-25.1,72.0,80,4.5,0
556,Vilhena,-12.74,80.6,83,3.36,75
557,Oktyabrskiy,54.48,23.43,97,11.61,45
558,Valparaiso,-33.04,67.12,72,11.41,20
559,Borogontsy,62.67,-30.23,98,4.21,74
560,Yumen,40.28,17.94,49,2.71,20
